mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_as_mb  Total_pos  Total_neg
+120.0   +0.679  +8.3    -8.3    +3.3       +9.0       -9.0     
+122.0   +0.644  +8.3    -8.3    +3.4       +8.9       -8.9     
+124.0   +0.612  +8.3    -8.3    +3.4       +8.9       -8.9     
+124.6   +0.603  +8.2    -8.2    +3.4       +8.9       -8.9     
+124.8   +0.6    +8.2    -8.2    +3.4       +8.9       -8.9     
+125.0   +0.597  +8.2    -8.2    +3.4       +8.9       -8.9     
+125.09  +0.596  +8.2    -8.2    +3.4       +8.9       -8.9     
+125.2   +0.594  +8.2    -8.2    +3.4       +8.9       -8.9     
+125.3   +0.592  +8.2    -8.2    +3.4       +8.9       -8.9     
+125.38  +0.591  +8.2    -8.2    +3.4       +8.9       -8.9     
+125.6   +0.588  +8.2    -8.2    +3.4       +8.9       -8.9     
+126.0   +0.582  +8.2    -8.2    +3.4       +8.9       -8.9     
+128.0   +0.554  +8.2    -8.2    +3.5       +8.9       -8.9     
+130.0   +0.527  +8.2    -8.2    +3.5       +8.9       -8.9     
